"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","20SVPF120M","20SVPF120M","PCAP_SVP_C6_PAN","2",""
"C3","25SVPF47M","25SVPF47M","PCAP_SVP_C6_PAN","1",""
"C10","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C11","1nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"J1","S4B-XH-SM4-TB","S4B-XH-SM4-TB","CONN4_S4B-XH_JST","1",""
"J2,J3,J5","XT60PW-M","","Connector_AMASS:AMASS_XT60IPW-M_1x03_P7.20mm_Horizontal","3",""
"J4","2171750001","2171750001","2171750001_MOL","1",""
"R1","ERJ-6ENF1071V","ERJ-6ENF1071V","RC0805N_PAN","1",""
"R2","ERJ-6ENF5621V","ERJ-6ENF5621V","RC0805N_PAN","1",""
"R3,R4","5.1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R5","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R6","0.333M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","LMZ22005TZ/NOPB","LMZ22005TZ/NOPB","TZA07A","1",""
"U2","ACS715LLCTR-30A-T","ACS715LLCTR-30A-T","SOIC-8_ALM","1",""
"U3","TLV2370IDBVR","","TLV2370IDBVR:SOT95P280X145-6N","1",""
"U4","TMUX1204DGSR","TMUX1204DGSR","DGS0010A-IPC_A","1",""
